               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  16,            0.038056,            0.018968,           0.0069775,              0.4505,             0.25301,               0.254,            0.094359,            0.054916,            0.020963,            0.021113,           0.0074229,           0.0074229,            0.032723
                  17,            0.037584,            0.019409,             0.00702,             0.44828,             0.21525,             0.22833,             0.08239,            0.055855,             0.02108,            0.020654,           0.0078537,           0.0078537,            0.028754
                  18,            0.037733,            0.020516,           0.0085994,             0.28656,             0.30432,             0.22985,             0.07922,            0.058332,            0.020614,            0.019894,           0.0082834,           0.0082834,            0.024783
                  19,             0.03949,            0.019629,           0.0076637,             0.31513,             0.27327,             0.22933,            0.079307,            0.058644,            0.020123,            0.020633,            0.008712,            0.008712,            0.020812
                  20,            0.040599,             0.01969,            0.007712,             0.29563,             0.26228,             0.23191,            0.089761,            0.057261,            0.020045,            0.020789,           0.0091392,           0.0091392,            0.016839
                  21,            0.040522,            0.019185,           0.0079507,             0.45321,             0.20517,             0.21129,            0.077693,            0.057548,            0.021153,             0.02185,           0.0095652,           0.0095652,            0.012865
                  22,             0.04094,            0.019147,           0.0079651,             0.41988,             0.20509,             0.20519,            0.065991,            0.058296,            0.020892,             0.02295,           0.0098811,           0.0098811,           0.0098811
                  23,             0.03986,            0.019585,           0.0099925,             0.28971,              0.2501,             0.20679,             0.07624,            0.058114,            0.021224,            0.023387,           0.0098811,           0.0098811,           0.0098811
                  24,            0.040094,            0.019892,           0.0092873,             0.36125,             0.25094,             0.22533,            0.086125,            0.057496,            0.020782,            0.023593,           0.0098701,           0.0098701,           0.0098701
                  25,             0.04058,            0.018822,           0.0094335,             0.35432,             0.26715,             0.23334,            0.083073,            0.057773,            0.020153,            0.025634,           0.0098586,           0.0098586,           0.0098586
                  26,            0.039518,            0.019576,           0.0091109,             0.30821,             0.27948,             0.23169,            0.086064,            0.057351,            0.020476,            0.022384,           0.0098467,           0.0098467,           0.0098467
                  27,            0.040296,            0.020199,           0.0086476,              0.3684,             0.23729,               0.228,            0.079484,            0.056789,            0.020202,            0.021546,           0.0098342,           0.0098342,           0.0098342
                  28,            0.039941,            0.019806,           0.0098078,             0.30299,             0.25959,             0.22009,            0.081074,            0.055907,            0.020421,            0.020937,           0.0098213,           0.0098213,           0.0098213
                  29,            0.039362,            0.019112,           0.0097098,             0.31264,             0.23672,             0.20205,            0.070855,            0.057396,            0.021193,            0.021888,           0.0098079,           0.0098079,           0.0098079
                  30,            0.039861,            0.019214,           0.0083074,             0.34701,             0.26288,             0.21764,            0.069625,            0.057726,              0.0221,            0.022019,           0.0097941,           0.0097941,           0.0097941
                  31,             0.04047,            0.020528,           0.0079825,             0.28967,             0.25897,             0.20921,            0.073813,            0.059172,            0.021079,            0.023611,           0.0097798,           0.0097798,           0.0097798
                  32,            0.039141,             0.01903,           0.0087428,               0.292,             0.25569,             0.20584,            0.076716,            0.056968,            0.021358,            0.024675,            0.009765,            0.009765,            0.009765
                  33,            0.039375,            0.019624,            0.010825,             0.34666,             0.21599,             0.21341,            0.082291,            0.059037,            0.022678,            0.022347,           0.0097497,           0.0097497,           0.0097497
                  34,            0.040843,            0.019367,           0.0087755,              0.3235,             0.25391,              0.2101,             0.07517,             0.05658,            0.020996,            0.022302,            0.009734,            0.009734,            0.009734
                  35,            0.039007,            0.020453,            0.009242,             0.35064,             0.27714,             0.22043,            0.069266,            0.057665,            0.020974,            0.021309,           0.0097178,           0.0097178,           0.0097178
